id,item_id,dept_id,cat_id,store_id,state_id,d_1928,d_1929,d_1930,d_1931,d_1932,d_1933,d_1934,d_1935,d_1936,d_1937,d_1938,d_1939,d_1940,d_1941
HOUSEHOLD_1_462_CA_4_evaluation,HOUSEHOLD_1_462,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,1,0,0,0,1,1,1,1,0,0,1,1,1
HOUSEHOLD_1_463_CA_4_evaluation,HOUSEHOLD_1_463,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_464_CA_4_evaluation,HOUSEHOLD_1_464,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_465_CA_4_evaluation,HOUSEHOLD_1_465,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,3,2,2,2,2,3,3,2,2,2,2,2,3,3
HOUSEHOLD_1_466_CA_4_evaluation,HOUSEHOLD_1_466,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_467_CA_4_evaluation,HOUSEHOLD_1_467,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,2,1,0,0,0,0,1,1,1,1,0,0,1,1
HOUSEHOLD_1_468_CA_4_evaluation,HOUSEHOLD_1_468,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,0,0,0,0,1,0,0,0,0,0,0,0,0
HOUSEHOLD_1_469_CA_4_evaluation,HOUSEHOLD_1_469,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,2,1,1,1,1,1,1,1,1,1,1,1,1,2
HOUSEHOLD_1_470_CA_4_evaluation,HOUSEHOLD_1_470,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_471_CA_4_evaluation,HOUSEHOLD_1_471,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,0,1,1,1,1,1,1,1,1,1,1,1,1
HOUSEHOLD_1_472_CA_4_evaluation,HOUSEHOLD_1_472,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_473_CA_4_evaluation,HOUSEHOLD_1_473,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,2,2,1,2,2,2,2,2,2,1,2,2,2
HOUSEHOLD_1_474_CA_4_evaluation,HOUSEHOLD_1_474,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,2,1,1,1,1,1,1,1,1,1,1,1,1,1
HOUSEHOLD_1_475_CA_4_evaluation,HOUSEHOLD_1_475,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_476_CA_4_evaluation,HOUSEHOLD_1_476,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_477_CA_4_evaluation,HOUSEHOLD_1_477,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_478_CA_4_evaluation,HOUSEHOLD_1_478,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,1,1,0,1,1,1,1,1,1,1,1,1,1
HOUSEHOLD_1_479_CA_4_evaluation,HOUSEHOLD_1_479,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,0,1,0,0,1,1,1,0,0,0,1,1,1
